question,temporality,feature,label,mode,model,f1_train,f1_test
2,False,all,anxiety,t-SNE,HistGradientBoostingClassifier,0.358974358974359,0.3125
2,False,all,anxiety,SMOTE,LogisticRegression,1.0,0.36363636363636365
2,False,all,anxiety,SMOTE,KNeighborsClassifier,1.0,0.26666666666666666
2,False,all,anxiety,SMOTE,DecisionTreeClassifier,1.0,0.6333333333333333
2,False,all,anxiety,SMOTE,RandomForestClassifier,1.0,0.5299145299145299
2,False,all,anxiety,SMOTE,SVC,0.5354449472096531,0.3125
2,False,all,anxiety,SMOTE,LinearSVC,1.0,0.36363636363636365
2,False,all,anxiety,SMOTE,GaussianNB,0.9282051282051282,0.26666666666666666
2,False,all,anxiety,SMOTE,GradientBoostingClassifier,1.0,0.717948717948718
2,False,all,anxiety,SMOTE,HistGradientBoostingClassifier,0.3333333333333333,0.35294117647058826
2,False,all,anxiety,Pass,LogisticRegression,1.0,0.36363636363636365
2,False,all,anxiety,Pass,KNeighborsClassifier,1.0,0.21428571428571427
2,False,all,anxiety,Pass,DecisionTreeClassifier,0.9597423510466989,0.717948717948718
2,False,all,anxiety,Pass,RandomForestClassifier,1.0,0.5299145299145299
2,False,all,anxiety,Pass,SVC,0.6031746031746031,0.3125
2,False,all,anxiety,Pass,LinearSVC,1.0,0.36363636363636365
2,False,all,anxiety,Pass,GaussianNB,0.9198717948717949,0.4107142857142857
2,False,all,anxiety,Pass,GradientBoostingClassifier,1.0,0.7272727272727273
2,False,all,anxiety,Pass,HistGradientBoostingClassifier,0.358974358974359,0.3125
3,False,all,depression,selection feature,LogisticRegression,0.6666666666666667,0.717948717948718
3,False,all,depression,selection feature,KNeighborsClassifier,1.0,0.47619047619047616
3,False,all,depression,selection feature,DecisionTreeClassifier,0.8440748440748441,0.47619047619047616
3,False,all,depression,selection feature,RandomForestClassifier,1.0,0.47619047619047616
3,False,all,depression,selection feature,SVC,0.7086247086247086,0.47619047619047616
3,False,all,depression,selection feature,LinearSVC,0.7242647058823529,0.8166666666666667
3,False,all,depression,selection feature,GaussianNB,0.6527777777777778,0.9090909090909091
3,False,all,depression,selection feature,GradientBoostingClassifier,1.0,0.47619047619047616
3,False,all,depression,selection feature,HistGradientBoostingClassifier,0.40476190476190477,0.3125
3,False,all,depression,PCA,LogisticRegression,1.0,0.5299145299145299
3,False,all,depression,PCA,KNeighborsClassifier,1.0,0.26666666666666666
3,False,all,depression,PCA,DecisionTreeClassifier,0.9523809523809523,0.3125
3,False,all,depression,PCA,RandomForestClassifier,1.0,0.3125
3,False,all,depression,PCA,SVC,0.64,0.26666666666666666
3,False,all,depression,PCA,LinearSVC,1.0,0.45
3,False,all,depression,PCA,GaussianNB,0.9554367201426025,0.47619047619047616
3,False,all,depression,PCA,GradientBoostingClassifier,1.0,0.3125
3,False,all,depression,PCA,HistGradientBoostingClassifier,0.40476190476190477,0.3125
3,False,all,depression,t-SNE,LogisticRegression,0.6666666666666666,0.45
3,False,all,depression,t-SNE,KNeighborsClassifier,1.0,0.3125
3,False,all,depression,t-SNE,DecisionTreeClassifier,0.9007936507936507,0.26666666666666666
3,False,all,depression,t-SNE,RandomForestClassifier,1.0,0.4107142857142857
3,False,all,depression,t-SNE,SVC,0.8263888888888888,0.5299145299145299
3,False,all,depression,t-SNE,LinearSVC,0.6666666666666666,0.45
3,False,all,depression,t-SNE,GaussianNB,0.625,0.3125
3,False,all,depression,t-SNE,GradientBoostingClassifier,1.0,0.45
3,False,all,depression,t-SNE,HistGradientBoostingClassifier,0.40476190476190477,0.3125
3,False,all,depression,SMOTE,LogisticRegression,1.0,0.47619047619047616
3,False,all,depression,SMOTE,KNeighborsClassifier,1.0,0.15384615384615385
3,False,all,depression,SMOTE,DecisionTreeClassifier,1.0,0.5454545454545454
3,False,all,depression,SMOTE,RandomForestClassifier,1.0,0.4107142857142857
