question,temporality,feature,label,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
2,False,all,anxiety,Pass,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,False,all,anxiety,Pass,DecisionTreeClassifier,0.6847619047619047,0.17294796249862646,0.7114285714285714,0.1166806357040418
2,False,all,anxiety,Pass,GradientBoostingClassifier,0.6490476190476191,0.1745385883432706,0.684047619047619,0.13257009441036385
2,False,all,anxiety,Pass,RandomForestClassifier,0.5380952380952381,0.15757516293118376,0.4852380952380952,0.13431188532547125
2,False,all,anxiety,Pass,KNeighborsClassifier,0.47857142857142854,0.31903873477324707,0.46944444444444444,0.3373354324756404
2,False,all,anxiety,Pass,GaussianNB,0.4533333333333333,0.14085278191373965,0.29333333333333333,0.1310805049022626
2,False,all,anxiety,Pass,SVC,0.35888888888888887,0.23771027079094872,0.2627777777777778,0.1070724342342113
2,False,all,anxiety,Pass,LogisticRegression,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
2,False,all,anxiety,Pass,LinearSVC,0.3142857142857143,0.20578371844125617,0.30317460317460315,0.1257567168252121
3,False,all,depression,selection feature,DecisionTreeClassifier,0.4109523809523809,0.2809503631888802,0.5376190476190477,0.1374100406607043
3,False,all,depression,selection feature,SVC,0.37333333333333335,0.03651483716701108,0.4966666666666667,0.053229064742237715
3,False,all,depression,selection feature,LinearSVC,0.36,0.23851391759997756,0.4927777777777777,0.17580941561043864
3,False,all,depression,selection feature,GaussianNB,0.32666666666666666,0.19206480387850577,0.4577272727272727,0.2038965577057661
